Tag,Parent_Tag,Attr_For,Num_Children,Num_Siblings,Depth,X_Percent,Y_Percent,Font_Size,Font_Weight,Is_Text,Nearest_Color,Nearest_Bg_Color,Distance_From_Input,Class
#text,label,0.0,0.0,0.0,0.3548,0.3171,0.7857,0.0,0.4,1.0,black,black,0.0065,LabelCandidate
#text,label,0.0,0.0,0.0,0.5667,0.3171,0.2755,0.0,0.4,1.0,black,black,0.0085,LabelCandidate
#text,None,0.0,0.0,0.0,0.3548,0.3171,0.8061,0.0,0.4,1.0,black,black,0.0065,LabelCandidate
#text,label,0.0,0.0,0.0,0.7333,0.3171,0.2449,0.0,0.4,1.0,black,black,0.0085,LabelCandidate
#text,label,0.0,0.0,0.0,0.3548,0.3171,0.7653,0.0,0.4,1.0,black,black,0.0065,LabelCandidate
#text,label,0.0,0.0,0.0,0.3548,0.3171,0.8469,0.0,0.4,1.0,black,black,0.0065,LabelCandidate
#text,label,0.0,0.0,0.0,0.5,0.3171,0.3163,0.0,0.4,1.0,black,black,0.0078,LabelCandidate
#text,label,0.0,0.0,0.0,0.4839,0.3171,0.6633,0.0,0.4,1.0,black,black,0.0088,LabelCandidate
#text,h3,0.0,0.0,0.0,0.7273,0.3171,0.1717,0.0,0.0,1.0,black,black,0.0072,LabelCandidate
#text,label,0.0,0.0,0.0,0.6774,0.3171,0.6122,0.0,0.4,1.0,black,black,0.0088,LabelCandidate
#text,label,0.0,0.0,0.0,0.5484,0.5976,0.6939,0.0,0.4,1.0,black,black,0.0088,LabelCandidate
#text,label,0.0,0.0,0.0,0.7273,0.3171,0.1717,0.0,0.0,1.0,black,black,0.0072,LabelCandidate
#text,label,0.0,0.0,0.0,0.7273,0.3171,0.1414,0.0,0.0,1.0,black,black,0.0072,LabelCandidate
#text,label,0.0,0.0,0.0,0.4839,0.3171,0.7143,0.0,0.4,1.0,black,black,0.0088,LabelCandidate
#text,label,0.0,0.0,0.0,0.8182,0.3171,0.1616,0.0,0.0,1.0,black,black,0.0072,LabelCandidate
#text,label,0.0,0.0,0.0,0.7273,0.3171,0.1212,0.0,0.0,1.0,black,black,0.0072,LabelCandidate
#text,label,0.0,0.0,0.0,0.6774,0.3171,0.6224,0.0,0.4,1.0,black,black,0.0088,LabelCandidate
#text,label,0.0,0.0,0.0,0.7273,0.3171,0.1313,0.0,0.4,1.0,black,black,0.0075,LabelCandidate
#text,label,0.0,0.0,0.0,0.3548,0.3171,0.8673,0.0,0.4,1.0,black,black,0.0065,LabelCandidate
#text,label,0.0,0.0,0.0,0.7333,0.3171,0.2245,0.0,0.4,1.0,black,black,0.0085,LabelCandidate
#text,label,0.0,0.0,0.0,0.5667,0.5976,0.2755,0.0,0.4,1.0,black,black,0.0085,LabelCandidate
#text,label,0.0,0.0,0.0,0.7273,0.3171,0.1515,0.0,0.4,1.0,black,black,0.0075,LabelCandidate
label,div,1.0,0.0,0.0769,0.7727,0.6098,0.1717,0.7,0.4,1.0,black,black,0.0094,LabelCandidate
#text,h2,0.0,0.0,0.0,0.3548,0.3171,0.8163,0.0,0.4,1.0,black,black,0.0139,LabelCandidate
#text,h3,0.0,0.0,0.0,0.5,0.3171,0.3571,0.0,0.4,1.0,black,black,0.0214,LabelCandidate
#text,label,0.0,0.0,0.0,0.7273,0.3171,0.10099999999999999,0.0,0.4,1.0,black,black,0.0075,LabelCandidate
#text,label,0.0,0.0,0.0,0.7273,0.3171,0.1717,0.0,0.4,1.0,black,black,0.0026,LabelCandidate
#text,label,0.0,0.0,0.0,0.7273,0.3171,0.1717,0.0,0.4,1.0,black,black,0.0026,LabelCandidate
#text,label,0.0,0.0,0.0,0.8182,0.5976,0.0707,0.0,0.4,1.0,black,black,0.0075,LabelCandidate
label,div,1.0,0.0,0.0769,0.7273,0.3171,0.1717,0.7,0.4,1.0,black,black,0.0094,LabelCandidate
#text,h3,0.0,0.0,0.0,0.7273,0.3171,0.1717,0.0,0.4,1.0,black,black,0.0026,LabelCandidate
#text,label,0.0,0.0,0.0,0.8182,0.3171,0.1717,0.0,0.4,1.0,black,black,0.0075,LabelCandidate
#text,label,0.0,0.0,0.0,0.7333,0.3171,0.2653,0.0,0.4,1.0,black,black,0.0085,LabelCandidate
#text,label,0.0,0.0,0.0,0.7097,0.3171,0.5918,0.0,0.4,1.0,black,black,0.0088,LabelCandidate
#text,label,0.0,0.0,0.0,0.8182,0.5976,0.0707,0.0,0.0,1.0,black,black,0.0072,LabelCandidate
#text,label,0.0,0.0,0.0,0.7273,0.3171,0.0909,0.0,0.0,1.0,black,black,0.0072,LabelCandidate
#text,label,0.0,0.0,0.0,0.8182,0.3171,0.0707,0.0,0.0,1.0,black,black,0.0072,LabelCandidate
label,div,1.0,0.0,0.0769,0.7273,0.3171,0.1616,0.7,0.0,1.0,black,black,0.0009,LabelCandidate
label,div,1.0,0.0,0.2,0.9,0.2083,0.7113,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
label,div,1.0,0.0,0.2,0.9,0.2083,0.4742,0.5833,1.0,1.0,grey,black,0.0286,LabelCandidate
label,div,1.0,0.0,0.2,0.9,0.2083,0.2371,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
label,div,1.0,0.0,0.4,0.9,0.2083,0.4742,0.5833,1.0,1.0,grey,black,0.0284,LabelCandidate
label,div,1.0,0.0,0.4,0.9,0.2083,0.3196,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
label,div,1.0,0.0,0.4,0.9,0.2083,0.1959,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
label,div,1.0,0.0,0.2,1.0,0.2083,0.5876,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
td,tr,0.0,0.0,0.1111,0.8889,0.6739,0.3333,0.5417,0.0,1.0,white,black,0.0987,LabelCandidate
#text,td,0.0,0.0,0.2778,1.0,0.8696,0.9298,0.0,0.0,1.0,white,black,0.0257,LabelCandidate
h3,div,0.0,0.0,1.0,0.5556,0.6739,0.7895,0.6667,1.0,1.0,white,black,0.1172,LabelCandidate
td,tr,0.0,0.0,0.1111,0.8889,0.6739,0.8596,0.5417,0.0,1.0,white,black,0.0872,LabelCandidate
td,tr,0.0,0.0,0.1111,0.8889,0.6739,0.6491,0.5417,0.0,1.0,white,black,0.0872,LabelCandidate
h3,div,0.0,0.0,1.0,0.5556,0.6739,0.4211,0.6667,1.0,1.0,white,black,0.1319,LabelCandidate
#text,td,0.0,0.0,0.2778,1.0,0.8696,0.8772,0.0,0.0,1.0,white,black,0.0253,LabelCandidate
td,tr,0.0,0.0,0.1111,0.8889,0.6739,0.2807,0.5417,0.0,1.0,white,black,0.0987,LabelCandidate
h3,div,0.0,0.0,1.0,0.5556,0.6739,0.2105,0.6667,1.0,1.0,white,black,0.1262,LabelCandidate
h3,div,0.0,0.0,1.0,0.5556,0.6739,0.5789,0.6667,1.0,1.0,white,black,0.1172,LabelCandidate
h3,div,0.0,0.0,0.5,0.9091,0.2083,0.617,1.0,0.3333,1.0,grey,black,1.0,LabelCandidate
label,div,1.0,0.0,0.1429,0.6667,0.1633,0.7021,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.2,0.9,0.2083,0.3505,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
label,div,1.0,0.0,0.4,1.0,0.2083,0.5979,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
#text,label,0.0,0.0,0.0,0.7273,0.3171,0.1717,0.0,0.0,1.0,black,black,0.0072,LabelCandidate
#text,label,0.0,0.0,0.0,0.8182,0.3171,0.0707,0.0,0.4,1.0,black,black,0.0075,LabelCandidate
label,div,1.0,0.0,0.4,0.9,0.2083,0.3505,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
th,tr,0.0,0.0,1.0,0.9286,0.3333,0.6731,0.5833,1.0,1.0,grey,black,1.0,LabelCandidate
label,div,1.0,0.0,0.4,1.0,0.2083,0.6289,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
